Index: S&P/TSX Composite Index
Total Number of Constituents: 229
Data as of April 23rd 2021

Constituent Name,Symbol
Primo Water Corporation,PRMW
Quebecor Inc. Class B Subordinate Voting Shares,QBR.B
Real Matters Inc.,REAL
Restaurant Brands International Inc.,QSR
Richelieu Hardware Ltd.,RCH
RioCan Real Estate Investment Trust,REI.UN
Ritchie Bros. Auctioneers Incorporated,RBA
Rogers Communications Inc. Class B Non-voting Shares,RCI.B
Royal Bank of Canada,RY
Russel Metals Inc.,RUS
Sandstorm Gold Ltd.,SSL
Saputo Inc.,SAP
Seabridge Gold Inc.,SEA
Shaw Communications Inc. Class B Non-voting Shares,SJR.B
Shopify Inc. Class A Subordinate Voting Shares,SHOP
Sienna Senior Living Inc.,SIA
Silvercorp Metals Inc.,SVM
SilverCrest Metals Inc.,SIL
Sleep Country Canada Holdings Inc.,ZZZ
SmartCentres Real Estate Investment Trust,SRU.UN
SNC-Lavalin Group Inc.,SNC
Spin Master Corp. Subordinate Voting Shares,TOY
Sprott Inc.,SII
SSR Mining Inc.,SSRM
Stantec Inc.,STN
Stella-Jones Inc.,SJ
Summit Industrial Income REIT,SMU.UN
Sun Life Financial Inc.,SLF
Suncor Energy Inc.,SU
SunOpta Inc.,SOY
Superior Plus Corp.,SPB
TC Energy Corporation,TRP
Teck Resources Limited Class B Subordinate Voting Shares,TECK.B
TELUS Corporation,T
TFI International Inc.,TFII
Thomson Reuters Corporation,TRI
TMX Group Limited,X
Torex Gold Resources Inc.,TXG
Toromont Industries Ltd.,TIH
Toronto-Dominion Bank (The),TD
Tourmaline Oil Corp.,TOU
TransAlta Corporation,TA
TransAlta Renewables Inc.,RNW
Transcontinental Inc. Class A Subordinate Voting Shares,TCL.A
Tricon Residential Inc.,TCN
Trillium Therapeutics Inc.,TRIL
Turquoise Hill Resources Ltd.,TRQ
Vermilion Energy Inc.,VET
Village Farms International Inc.,VFF
Waste Connections Inc.,WCN
Wesdome Gold Mines Ltd.,WDO
West Fraser Timber Co. Ltd.,WFG
Westport Fuel Systems Inc.,WPRT
Westshore Terminals Investment Corporation,WTE
Wheaton Precious Metals Corp.,WPM
Whitecap Resources Inc.,WCP
Winpak Ltd.,WPK
WPT Industrial Real Estate Investment Trust,WIR.UN
WSP Global Inc.,WSP
Yamana Gold Inc.,YRI
